author      entry        time(h)
addiszx         wvISW        0.33 
admin           A            0.17 
admin           ADKrat       0.17 
admin           AMAdd        3.33 
admin           AMLaw        2.08 
admin           AMLaw1       1.17 
admin           AU           2.58 
admin           AbsInd       0.25 
admin           Abstra       0.33 
admin           AccGau       1.00 
admin           AccTra       2.83 
admin           Adiab        0.92 
admin           Adibat       0.33 
admin           AlgFie       0.50 
admin           AmpLaw       1.17 
admin           AnaInt       0.58 
admin           AnalNt       1.08 
admin           AngMom       1.17 
admin           ArcSpl       0.33 
admin           Arctan       0.25 
admin           AsLgdr       0.33 
admin           Astro        0.33 
admin           Asympt       0.17 
admin           AtomId       1.00 
admin           AvgHit       0.33 
admin           BBdLaw       1.00 
admin           BCSBEC       0.33 
admin           BECSup       0.17 
admin           BEng         0.25 
admin           BFlux        0.42 
admin           BLAS         0.33 
admin           BMono        0.25 
admin           BRST         0.33 
admin           BanDmt       1.00 
admin           BanThm       0.50 
admin           BasPar       0.17 
admin           Basics       0.17 
admin           Beltra       0.17 
admin           Bernul       0.42 
admin           Bessel       1.42 
admin           BiNor        0.17 
admin           BiNorM       0.33 
admin           BiNorR       0.17 
admin           Binet        0.25 
admin           BioSav       1.67 
admin           Bisec        0.25 
admin           Bloch        1.00 
admin           BndSho       0.58 
admin           BohMag       0.17 
admin           BohrEc       1.50 
admin           BohrMd       0.67 
admin           BornSc       0.33 
admin           Brachi       2.58 
admin           Bubble       0.17 
admin           Buoy         0.58 
admin           BvecA        0.42 
admin           CEfDiv       2.17 
admin           CEsb         0.17 
admin           CExp         0.33 
admin           CGS          1.08 
admin           CHF          0.33 
admin           CM           1.00 
admin           CM0          3.08 
admin           CM1          2.33 
admin           CMAD         0.33 
admin           CMVD         0.17 
admin           COrNoB       1.17 
admin           CSI0         0.25 
admin           CSNeq        0.67 
admin           CamLoc       0.25 
admin           CamMdl       1.08 
admin           CanTra       0.25 
admin           Carnot       0.58 
admin           CatTns       0.17 
admin           Catena       1.33 
admin           CauGou       0.50 
admin           CauRie       2.42 
admin           Ccomb        0.25 
admin           CelBd        0.25 
admin           CenFrc       0.42 
admin           CenG         0.42 
admin           CentrF       0.83 
admin           Cgauge       0.25 
admin           ChExpn       1.08 
admin           ChainR       1.00 
admin           Charge       0.50 
admin           CirISW       0.50 
admin           Circ         1.17 
admin           ClBohr       1.17 
admin           ClbFrc       0.25 
admin           ClsMec       0.25 
