entry    time(h)    author
FiSph   0.33  addis         
Fibre   0.5   JierPeter     
FinStr  0.5   addis         
FlCode  0.42  addis         
FldExp  1.67  JierPeter     
FldExp  0.25  addis         
Floque  0.42  addis         
FnalN2  0.33  addis         
FnalN3  0.17  addis         
FnalN4  0.17  addis         
FnalN5  0.42  addis         
FnalNt  16.75 addis         
FootBl  0.33  addis         
Forms   1.83  JierPeter     
Fouclt  0.33  addis         
FrNorm  1.17  addis         
FreGrp  0.83  JierPeter     
FrePrd  0.5   JierPeter     
FreeP   0.17  addis         
FreeP1  1     addis         
Fresnl  0.17  addis         
FrobTh  2.5   DTSIo         
FrobTh  0.92  addis         
Frog    0.17  addis         
FrogCr  0.17  addis         
FunDer  0.5   addis         
FunLim  1     addis         
FunLim  0.17  JierPeter     
FunSpc  0.42  addis         
Fwork   0.25  addis         
GAUSS   1.08  addis         
GHcurv  0.42  JierPeter     
GLquad  0.33  addis         
GMap    1     JierPeter     
GR      0.25  郭长仲88         
GSL     0.17  addis         
GVec    5.17  addis         
GVec    3.17  JierPeter     
GVec0   0.17  addis         
GVecOp  0.58  addis         
GaliTr  0.25  addis         
Gama1   0.83  fsf王          
Gama1   0.67  addis         
Gamma   1.58  addis         
Gamma   0.42  spain         
Gamma2  0.42  addis         
GauEli  0.33  addis         
Gauge   0.17  addis         
GausBm  0.67  addis         
GausPD  0.33  addis         
GausPk  0.75  addis         
GausWP  1.08  addis         
GaussU  4     addis         
GenYlm  1.42  addis         
GeoPrg  0.17  addis         
Geomet  2.58  zhousiyi      
Geomet  0.67  addis         
Git     0.67  addis         
GitHub  0.5   addis         
GoodQN  0.5   addis         
Grad    0.92  addis         
GradNr  0.33  addis         
Gravty  0.17  addis         
GreenF  2.5   addis         
GreenF  0.25  切糕糕           
Group   4.17  addis         
Group   2.33  JierPeter     
Group   0.17  zhaojiayu     
Group1  4.33  JierPeter     
Group1  3     addis         
Group2  0.75  JierPeter     
Group2  0.5   addis         
Group3  2     JierPeter     
Group3  0.33  addis         
GroupN  1     addis         
GroupP  0.58  JierPeter     
GroupP  0.25  addis         
GroupV  0.75  addis         
GrpPrd  1.67  JierPeter     
GrpRep  0.25  JierPeter     
GrpRep  0.17  addis         
Gvec2   1.5   addis         
HDipM   1.92  addis         
HDipM   0.33  切糕糕           
HDipol  0.17  addis         
HRMass  0.75  addis         
HStark  0.75  addis         
HStrk2  0.67  addis         
HTDSE   0.75  addis         
HW      0.5   lxe           
HWF     4     addis         
HWF0    0.58  addis         
Hallef  0.58  addis         
HamCan  2.42  addis         
HamPrn  1.33  addis         
Hanaly  1     addis         
HarFor  0.17  addis         
HarFun  0.25  addis         
HarmF   2.25  addis         
HeAna2  2.25  addis         
HeAnal  9.92  addis         
HeTDSE  6.92  addis         
Heatco  0.25  addis         
Heatco  0.25  FFjet         
HelDe   0.33  addis         
HelDe   0.33  DTSIo         
HelmTh  2.92  addis         
HerEig  1.75  addis         
HerMat  0.67  addis         
HerOp   0.33  addis         
HermiP  0.42  addis         
Heron   2.17  零穹            
Heron   0.42  addis         
Heron   0.25  hfb25         
HigDer  0.25  addis         
HionCr  5     addis         
HlmPr2  3.08  addis         
HmhzEq  0.58  addis         
HodgeO  0.58  JierPeter     
HodgeO  0.17  addis         
HomT1   1.08  JierPeter     
HomT1   0.25  addis         
HomT2   1.08  JierPeter     
HomT3   0.83  JierPeter     
HomT3   0.25  addis         
HomT4   2.42  JierPeter     
HomT5   2.58  JierPeter     
HomT5   0.17  addis         
Homeul  0.5   FFjet         
Homeul  0.25  addis         
Homt3   0.75  JierPeter     
Hplot   0.5   addis         
HsAmPg  0.83  jingyuan      
HsAngl  0.67  jingyuan      
HsBN    1.67  jingyuan      
HsBN    0.25  addis         
HsCb    1.67  jingyuan      
HsCb    0.17  addis         
HsCpMi  1.33  jingyuan      
HsDRV   1.25  jingyuan      
HsDRV   0.17  addis         
HsGmPg  0.33  jingyuan      
HsMOv   0.25  jingyuan      
HsPm    0.33  jingyuan      
HsPm    0.17  addis         
HsRdNc  0.83  jingyuan      
HsRdNc  0.17  addis         
HsSeFu  0.5   jingyuan      
HsSet   2.17  jingyuan      
HsTrFu  0.25  jingyuan      
HsbPic  0.67  addis         
Htunnl  0.92  addis         
Huygen  0.5   FFjet         
Huygen  0.25  addis         
Hy1D2D  0.42  addis         
HyIon2  2     addis         
HyTDSE  4.5   addis         
HyTDSE  0.42  小时            
HydroL  0.25  addis         
HypGeo  0.17  addis         
